Pilote,GP,Saison,Réalité,Prédiction
Lewis HAMILTON,Etats-Unis,2023,17.20696535461636,17.114645988990013
George RUSSELL,France,2022,15.719331172154924,15.67279803167575
Carlos SAINZ,Etats-Unis,2015,23.09160166878288,21.88741768371337
Nico HULKENBERG,Australie,2016,16.26847290640394,16.421316964802497
Valtteri BOTTAS,Grande-Bretagne,2024,15.690205398064844,15.01372350212638
Sebastian VETTEL,São Paulo,2021,16.10559294499884,16.125182742198405
Antonio GIOVINAZZI,Émilie-Romagne,2021,15.506620492972093,15.229874107095673
Sergio PEREZ,Russie,2015,16.876025991792066,16.875010536744263
George RUSSELL,Turquie,2021,15.924878231547396,16.71572529562525
Lewis HAMILTON,Mexico City,2021,17.66263940520446,17.815191995547398
Rio HARYANTO,Bahreïn,2016,17.40391722099039,17.338282087570562
Oscar PIASTRI,Japon,2023,15.368149802439444,15.571058720693783
Daniel RICCIARDO,Australie,2017,16.014020462296322,15.976788342319718
Fernando ALONSO,Russie,2018,16.331053351573185,16.16684391820751
Alexander ALBON,Miami,2022,16.869870609981515,16.636928685408623
Romain GROSJEAN,Japon,2015,16.14275897612094,16.230581642122218
Antonio GIOVINAZZI,Etats-Unis,2019,17.09160166878288,17.253727585298687
Max VERSTAPPEN,Hongrie,2020,17.08491212052043,17.09539701213391
Felipe MASSA,Espagne,2017,17.442989048743826,17.41967989611721
Daniil KVYAT,Chine,2016,17.684645019262522,17.730411173749935
Nico HULKENBERG,Allemagne,2018,15.863576738084829,16.078352215422306
Max VERSTAPPEN,Belgique,2019,14.8043974871502,14.672564786073671
Sergio PEREZ,Australie,2017,16.119931792345586,16.065500726633402
Romain GROSJEAN,Autriche,2018,14.796665122742013,14.998389231697812
Daniil KVYAT,Portugal,2020,16.704921555985386,16.7009814096637
Carlos SAINZ,Pays-Bas,2024,16.650387414886122,16.484906603159658
Carlos SAINZ,Etats-Unis,2022,17.115182296390348,17.136583974584028
Esteban OCON,Las Vegas,2024,15.03322044831479,15.150687843790278
Pierre GASLY,Bahreïn,2023,17.03270509977827,16.86641688314018
Esteban OCON,Arabie saoudite,2024,14.492225461613215,14.328243616878504
Carlos SAINZ,Hongrie,2021,17.71125313855284,17.492589579442495
Kevin MAGNUSSEN,Hongrie,2020,17.382332800730428,17.414599899869614
Felipe MASSA,Allemagne,2016,16.531482291211194,16.552793626122728
Stoffel VANDOORNE,Italie,2017,17.116692559986188,16.11126307825437
Yuki TSUNODA,France,2021,22.623101859750896,15.669026715464213
Lewis HAMILTON,Las Vegas,2023,15.132559264634738,15.526061685214067
Nico HULKENBERG,Bahreïn,2018,16.550258684405026,16.58405449040732
Romain GROSJEAN,Monaco,2018,21.794426131255616,21.673658257027018
Max VERSTAPPEN,Mexique,2018,17.3756970260223,17.607219050401262
Max VERSTAPPEN,Autriche,2016,16.47823066234368,15.898193679978128
Sergio PEREZ,Etats-Unis,2021,16.893524396880103,17.193177835659974
Lando NORRIS,Japon,2019,15.197388764817042,15.301313945836208
